run_id,condition,architecture,seed,metric,point,ci_low,ci_high,bootstrap_n,ci_level
B11_R_P_seed42,R-P,ResNet50,42,f1,0.8634850166481687,0.8487486398258978,0.8781038374717833,5000,0.95
B11_R_P_seed42,R-P,ResNet50,42,brier,0.1364486579097315,0.11948850849003999,0.153915354882711,5000,0.95
B11_R_P_seed42,R-P,ResNet50,42,ece,0.17731541242354953,0.16078732563899115,0.19381734912212079,5000,0.95
B12_R_P_seed2024,R-P,ResNet50,2024,auroc,0.9730769230769231,0.9593139108042954,0.9842824074074074,5000,0.95
B12_R_P_seed2024,R-P,ResNet50,2024,auprc,0.9803349026341709,0.9683899883797833,0.9898520666128741,5000,0.95
B12_R_P_seed2024,R-P,ResNet50,2024,accuracy,0.8733974358974359,0.8493589743589743,0.8958333333333334,5000,0.95
B12_R_P_seed2024,R-P,ResNet50,2024,balanced_accuracy,0.832051282051282,0.8012820512820513,0.8628205128205129,5000,0.95
B12_R_P_seed2024,R-P,ResNet50,2024,sensitivity,0.9974358974358974,0.9923076923076923,1.0,5000,0.95
B12_R_P_seed2024,R-P,ResNet50,2024,specificity,0.6666666666666666,0.6068376068376068,0.7264957264957265,5000,0.95
B12_R_P_seed2024,R-P,ResNet50,2024,precision,0.8329764453961456,0.8083333333333333,0.8590308370044053,5000,0.95
B12_R_P_seed2024,R-P,ResNet50,2024,npv,0.9936305732484076,0.9801324503311258,1.0,5000,0.95
B12_R_P_seed2024,R-P,ResNet50,2024,f1,0.9078179696616102,0.8924485125858124,0.9230769230769231,5000,0.95
B12_R_P_seed2024,R-P,ResNet50,2024,brier,0.12126453783714215,0.10524749148330907,0.13764291481132507,5000,0.95
B12_R_P_seed2024,R-P,ResNet50,2024,ece,0.1639945079118778,0.1478965358856397,0.17977606791716355,5000,0.95
