architecture,comparison,candidate_component,reference_component,metric,mean_delta,ci_low,ci_high,bootstrap_n,ci_level,n_seeds,all_seed_deltas,supports_improvement_at_95ci
DenseNet121,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,balanced_accuracy,-0.003133903133903123,-0.014818376068376073,0.007977207977207948,5000,0.95,3,"[-0.02136752136752129, 0.02136752136752129, -0.009401709401709368]",False
DenseNet121,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,sensitivity,0.0008547008547008517,-0.002564102564102555,0.004273504273504258,5000,0.95,3,"[0.0, 0.0, 0.002564102564102555]",False
DenseNet121,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,specificity,-0.00712250712250706,-0.02991452991452992,0.014245014245014268,5000,0.95,3,"[-0.042735042735042694, 0.042735042735042805, -0.02136752136752129]",False
DenseNet121,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,precision,-0.0025322114684895127,-0.011519777928401358,0.006123211929734436,5000,0.95,3,"[-0.016983353687094804, 0.017054645193051554, -0.0076679259114252885]",False
DenseNet121,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,npv,0.0023174002048664453,-0.007132690193013412,0.012159603264125084,5000,0.95,3,"[-0.0009393640505378498, 0.0009266123054113562, 0.006964952359725829]",False
DenseNet121,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,f1,-0.0012412287840853538,-0.007057563926980954,0.004315812595739976,5000,0.95,3,"[-0.010299987125016119, 0.010323761680750998, -0.0037474609079909404]",False
DenseNet121,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,brier,-0.02268894485814404,-0.02684856077533555,-0.018414180711159314,5000,0.95,3,"[-0.005323679263384312, -0.029470093884344503, -0.033273061426703304]",True
DenseNet121,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,ece,-0.028046262569916564,-0.03189512185561355,-0.023614356431186753,5000,0.95,3,"[-0.004052241643269894, -0.043791954333965544, -0.03629459173251426]",True
DenseNet121,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,auroc,0.004355687047994716,-4.5657096939994615e-08,0.008881264153700072,5000,0.95,3,"[-0.005177514792899407, 0.00539119000657462, 0.012853385930308936]",False
DenseNet121,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,auprc,0.005893364035395606,0.0004921915992905225,0.011453472862184271,5000,0.95,3,"[-0.005821419471955247, 0.008957223430979155, 0.01454428814716291]",True
DenseNet121,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,accuracy,0.019230769230769235,0.009615384615384618,0.028846153846153855,5000,0.95,3,"[0.0064102564102563875, 0.019230769230769273, 0.03205128205128205]",True
DenseNet121,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,balanced_accuracy,0.025071225071225056,0.012535612535612526,0.037752849002849,5000,0.95,3,"[0.008547008547008628, 0.02564102564102555, 0.04102564102564099]",True
DenseNet121,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,sensitivity,0.0017094017094017033,-0.0017094017094017033,0.00512820512820511,5000,0.95,3,"[0.0, 0.0, 0.00512820512820511]",False
DenseNet121,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,specificity,0.048433048433048465,0.024180911680911788,0.07407407407407406,5000,0.95,3,"[0.017094017094017144, 0.05128205128205132, 0.07692307692307693]",True
DenseNet121,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,precision,0.018570455794834517,0.00901745631887824,0.028243180894522817,5000,0.95,3,"[0.006598050344144402, 0.02038100574310131, 0.02873231129725784]",True
DenseNet121,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,npv,0.006665110422405474,-0.002778486577021666,0.01777523370191188,5000,0.95,3,"[0.0004141429828647958, 0.0011278195488720888, 0.018453368735479536]",False
DenseNet121,CBAM+mask-loss minus mask-loss-only,CBAM+mask-loss,mask-loss-only,f1,0.012181658176836993,0.006101286133087135,0.018425788790616637,5000,0.95,3,"[0.00405422526289112, 0.012360165014574154, 0.020130584253045702]",True
